area;nr_of_rooms;tier;parking;year_of_construction;district_id;price
36.420000;2;1;0;1990;6;197396.000000
26.100000;1;4;0;2004;2;165000.000000
77.000000;3;3;0;2006;12;990000.000000
40.000000;2;2;0;1937;12;350000.000000
71.000000;4;3;0;2015;8;440171.000000
79.600000;4;1;0;1997;2;437000.000000
44.000000;2;1;0;2008;3;289000.000000
71.000000;4;3;1;2004;2;449568.000000
44.000000;2;2;0;1970;0;220000.000000
22.050000;1;5;0;1937;12;215000.000000
57.000000;3;3;1;2015;8;347280.000000
40.000000;2;0;0;2015;8;407600.000000
31.140000;1;5;0;2017;8;174384.000000
51.000000;2;1;0;2009;3;310000.000000
63.000000;3;3;0;2008;3;398000.000000
52.000000;2;3;0;1960;7;230000.000000
43.600000;2;3;0;2015;8;270320.000000
45.520000;2;3;0;2002;9;227000.000000
54.290000;3;1;0;1981;9;276879.000000
58.000000;2;3;0;2015;4;410000.000000
76.000000;3;3;0;2008;3;480000.000000
51.000000;2;3;0;2008;3;290896.000000
44.700000;2;1;0;2001;10;255000.000000
79.000000;4;3;0;2002;15;299000.000000
45.360000;2;4;0;2001;14;276000.000000
98.300000;3;4;0;2015;8;589800.000000
59.000000;2;3;0;2015;8;395000.000000
103.000000;4;0;0;2005;1;1050000.000000
35.000000;2;1;0;1997;1;263000.000000
53.000000;2;3;1;1937;12;360000.000000
36.000000;2;2;0;1970;0;179000.000000
66.070000;2;2;0;1885;12;649000.000000
39.610000;2;1;0;2008;3;221816.000000
35.570000;2;0;0;1960;7;189000.000000
69.000000;2;4;1;2015;16;670000.000000
45.000000;2;3;0;2015;8;265000.000000
50.000000;2;0;0;2001;10;345000.000000
53.960000;3;0;0;2016;5;378490.000000
56.000000;3;4;0;1980;7;312000.000000
52.500000;3;1;0;1997;1;519000.000000
60.920000;3;1;0;2015;4;438624.000000
59.810000;3;2;0;2015;8;490442.000000
90.000000;3;0;0;2007;10;399000.000000
43.990000;2;3;0;2016;3;277137.000000
40.650000;2;0;0;2010;10;349000.000000
45.000000;2;3;0;2008;3;363000.000000
